timestamp,open,high,low,close,volume,price_change,volatility
2024-11-16 17:00:00,3145.19,3176.3,3141.18,3167.41,13260.0725,0.007067957954711712,0.01118051178219661
2024-11-16 18:00:00,3167.4,3182.33,3163.63,3180.76,12191.2088,0.004214800104817673,0.005910931430034428
2024-11-16 19:00:00,3180.76,3184.6,3164.59,3169.01,10067.3986,-0.0036940856902124564,0.006323093986898702
2024-11-16 20:00:00,3169.01,3175.0,3144.66,3150.12,14318.26,-0.0059608521273206705,0.009648101861568547
2024-11-16 21:00:00,3150.12,3159.49,3147.5,3154.2,7265.4812,0.0012951887547141272,0.0038093725178712573
2024-11-16 22:00:00,3154.2,3164.6,3132.4,3132.99,9507.2153,-0.006724367509986728,0.010279657770399636
2024-11-16 23:00:00,3132.99,3146.2,3121.91,3132.87,12080.8178,-3.830206926924706e-05,0.007780493351826274
2024-11-17 00:00:00,3132.88,3154.0,3131.2,3149.13,11380.7413,0.00519012917867645,0.007281553398058311
2024-11-17 01:00:00,3149.13,3149.13,3073.0,3085.0,32874.8138,-0.020364354599524348,0.024773836641718228
2024-11-17 02:00:00,3085.0,3085.0,3034.99,3065.36,39334.9677,-0.0063662884927065955,0.016477813765449052
2024-11-17 03:00:00,3065.36,3080.97,3053.07,3080.68,15708.9407,0.004997781663491407,0.009138342717330305
2024-11-17 04:00:00,3080.67,3136.64,3076.2,3126.7,35026.2298,0.01493826038407109,0.019647617190039678
2024-11-17 05:00:00,3126.69,3135.47,3093.76,3103.45,18954.3689,-0.007435954840566694,0.013481976623913807
2024-11-17 06:00:00,3103.46,3141.43,3102.51,3134.27,17433.2662,0.009930883371731536,0.0125446815642817
2024-11-17 07:00:00,3134.26,3147.72,3120.58,3136.79,13925.572,0.0008040149699930499,0.008697101179908823
2024-11-17 08:00:00,3136.79,3161.49,3130.37,3145.33,21875.5059,0.0027225284446839026,0.009941316841140151
2024-11-17 09:00:00,3145.34,3162.11,3131.94,3140.33,11535.0813,-0.0015896583188409474,0.009633007018014417
2024-11-17 10:00:00,3140.32,3151.32,3130.37,3138.0,10951.5361,-0.0007419602398474057,0.006692499608672545
