,close,price_change,volatility
count,499.0,499.0,499.0
mean,3477.256973947896,0.0005042701348048585,0.011135303862990472
std,266.3660390019638,0.007161562764288349,0.006362677133725005
min,3049.01,-0.0204662980122551,0.0028779874213836
25%,3296.4,-0.00343055993206945,0.007054232113957649
50%,3464.0,0.0003918721854261,0.0093210176632637
75%,3673.065,0.00447546751064545,0.0134581648814798
max,4067.62,0.0435993963942498,0.0565171169879835
